id,stock_code,transaction_type,quantity,unit_price,transaction_date,user_id,created_at
29,2914,buy,100,3795.00,"2024-01-22 00:00:00",1,"2024-10-27 14:51:19"
30,7272,buy,100,1168.00,"2024-08-08 00:00:00",1,"2024-10-27 14:51:19"
31,8593,buy,100,1020.00,"2024-09-25 00:00:00",1,"2024-10-27 14:51:19"
32,9432,buy,100,147.00,"2024-10-16 00:00:00",1,"2024-10-27 14:51:19"
33,9432,buy,100,145.00,"2024-10-22 00:00:00",1,"2024-10-27 14:51:19"
34,9434,buy,100,185.00,"2024-10-24 00:00:00",1,"2024-10-27 14:51:19"
